Welche.Getränke.magst.du...Bier.,Welche.Getränke.magst.du...Wein.,Welche.Getränke.magst.du...Kaffee.,Welche.Getränke.magst.du...Tee.,Welches.Essen.magst.du...Sauerkraut.,Welches.Essen.magst.du...Kapern.,Welches.Essen.magst.du...Geräucherten.Schinken.,Welches.Essen.magst.du...Intensiven.Käse.,Welches.Essen.magst.du...Zwieback.,Welches.Essen.magst.du...Milchreis.,Welche.Musikrichtung.bevorzugst.du...Klassik.,Welche.Musikrichtung.bevorzugst.du...Rock.,Welche.Musikrichtung.bevorzugst.du...Pop.,Welche.Musikrichtung.bevorzugst.du...Metal.,Welche.Musikrichtung.bevorzugst.du...Techno.,Welche.Musikrichtung.bevorzugst.du...Charts.,Welche.Musikrichtung.bevorzugst.du...Schlager.,Welche.Farbe.magst.du...Rot.,Welche.Farbe.magst.du...Gelb.,Welche.Farbe.magst.du...Grün.,Welche.Farbe.magst.du...Blau.,Welche.Farbe.magst.du...Schwarz.,Welche.dieser.Schokoladensorten.magst.du...Vollmilch.,Welche.dieser.Schokoladensorten.magst.du...Haselnuss.,Welche.dieser.Schokoladensorten.magst.du...Knusperflakes.,Welche.dieser.Schokoladensorten.magst.du...Nougat.,Welche.dieser.Schokoladensorten.magst.du...Joghurt.,Welche.dieser.Schokoladensorten.magst.du...Marzipan.,Welche.dieser.Schokoladensorten.magst.du...Knusperkeks.
5.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,4.0,2.0,4.0,5.0,5.0,3.0,4.0,4.0
3.0,5.0,5.0,4.0,3.0,1.0,5.0,4.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,4.0,1.0,4.0,4.0,5.0,4.0,2.0,2.0,5.0,2.0,5.0,4.0,1.0,3.0
5.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,1.0,2.0,5.0,1.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,1.0,5.0
4.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,1.0,1.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,2.0,1.0,5.0
5.0,5.0,4.0,5.0,3.0,1.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,1.0,1.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,2.0,2.0
4.0,5.0,3.0,3.0,4.0,1.0,4.0,5.0,2.0,2.0,4.0,5.0,3.0,5.0,1.0,2.0,1.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,3.0,4.0
1.0,1.0,5.0,5.0,5.0,4.0,4.0,1.0,3.0,3.0,2.0,5.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0
4.0,4.0,5.0,4.0,4.0,5.0,2.0,2.0,1.0,4.0,4.0,3.0,2.0,5.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,4.0,5.0,4.0,1.0,5.0
4.0,5.0,5.0,3.0,1.0,1.0,3.0,5.0,1.0,1.0,5.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0
1.0,2.0,5.0,4.0,3.0,2.0,5.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,5.0,4.0,1.0
5.0,4.0,5.0,5.0,4.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0
1.0,1.0,4.0,3.0,5.0,2.0,3.0,4.0,5.0,4.0,2.0,4.0,2.0,1.0,5.0,2.0,4.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1.0,5.0,5.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,1.0,4.0,5.0,3.0,1.0
1.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,4.0,4.0
3.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,3.0,5.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,5.0,5.0
4.0,4.0,1.0,5.0,1.0,3.0,3.0,4.0,2.0,5.0,2.0,5.0,4.0,1.0,4.0,5.0,1.0,3.0,2.0,5.0,5.0,4.0,2.0,4.0,4.0,1.0,3.0,5.0,5.0
2.0,1.0,3.0,5.0,5.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,4.0,2.0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0
5.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,1.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0
5.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,1.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0
5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,5.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0
2.0,4.0,4.0,3.0,3.0,1.0,4.0,5.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0
1.0,1.0,5.0,1.0,4.0,4.0,5.0,5.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,5.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,1.0,4.0
2.0,5.0,5.0,5.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,3.0,1.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0
1.0,1.0,5.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,1.0,3.0,1.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0
4.0,2.0,5.0,3.0,4.0,2.0,5.0,4.0,1.0,5.0,4.0,2.0,4.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,5.0,4.0,5.0,5.0,1.0,3.0,2.0,4.0,1.0
4.0,5.0,4.0,5.0,1.0,1.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,2.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,2.0,5.0
5.0,5.0,5.0,3.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,3.0,5.0,1.0,1.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0
5.0,4.0,1.0,5.0,5.0,1.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0,2.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,2.0,1.0,4.0
5.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0
5.0,4.0,1.0,5.0,3.0,1.0,4.0,5.0,4.0,3.0,1.0,5.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0
4.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,5.0,3.0,5.0,4.0,5.0,3.0,2.0,2.0,3.0,2.0,5.0,2.0
3.0,5.0,3.0,5.0,3.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,5.0,1.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0
4.0,5.0,5.0,4.0,4.0,3.0,1.0,5.0,3.0,1.0,4.0,5.0,5.0,2.0,2.0,4.0,1.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0
4.0,4.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0
2.0,2.0,1.0,2.0,3.0,1.0,3.0,4.0,2.0,4.0,2.0,4.0,5.0,2.0,1.0,5.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,2.0,1.0,5.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,1.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0
3.0,4.0,1.0,5.0,3.0,1.0,5.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,1.0,5.0
4.0,4.0,5.0,5.0,1.0,3.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,2.0,2.0,2.0,1.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,1.0,5.0
2.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,3.0,1.0,4.0
4.0,4.0,5.0,5.0,2.0,2.0,3.0,4.0,3.0,1.0,3.0,3.0,4.0,2.0,1.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0
5.0,2.0,5.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,1.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,2.0,1.0,5.0
4.0,5.0,5.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0
5.0,5.0,4.0,5.0,2.0,3.0,4.0,1.0,4.0,5.0,2.0,5.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0
5.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0
5.0,4.0,1.0,4.0,4.0,1.0,4.0,3.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0
4.0,4.0,3.0,5.0,3.0,1.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,1.0,5.0,4.0,3.0,5.0,1.0,4.0,4.0,4.0,1.0,5.0,5.0,3.0,3.0,5.0,5.0
5.0,5.0,5.0,3.0,3.0,2.0,5.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0,4.0,4.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
5.0,3.0,5.0,4.0,2.0,3.0,4.0,1.0,3.0,5.0,2.0,5.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,1.0,3.0
2.0,4.0,5.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,5.0,1.0,5.0,2.0,1.0,1.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0
4.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,5.0,5.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,1.0,4.0,3.0,2.0,1.0,5.0
5.0,5.0,5.0,2.0,4.0,1.0,4.0,1.0,4.0,5.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,1.0,4.0
5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,2.0,5.0,4.0,5.0,4.0,3.0,2.0,3.0,1.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0
4.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,5.0,4.0,1.0,1.0,3.0,1.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0
5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,5.0,1.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,2.0,1.0,1.0
4.0,5.0,5.0,5.0,1.0,1.0,4.0,1.0,3.0,4.0,2.0,4.0,4.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,1.0,4.0
1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,1.0,4.0,4.0,1.0,5.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,5.0,4.0,4.0,3.0,1.0,5.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,2.0,1.0,4.0
4.0,3.0,5.0,4.0,1.0,1.0,5.0,1.0,4.0,3.0,3.0,5.0,1.0,5.0,3.0,1.0,1.0,3.0,2.0,5.0,4.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0
5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,5.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
4.0,3.0,4.0,5.0,2.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0
1.0,5.0,3.0,4.0,5.0,2.0,1.0,5.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,2.0,1.0,4.0
1.0,4.0,3.0,5.0,2.0,2.0,2.0,4.0,4.0,2.0,5.0,3.0,4.0,2.0,2.0,3.0,1.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0
1.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,5.0,2.0,1.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0
4.0,1.0,4.0,3.0,5.0,3.0,5.0,5.0,2.0,4.0,4.0,5.0,3.0,5.0,2.0,2.0,1.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0
3.0,4.0,5.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,2.0,4.0,5.0,5.0
4.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,5.0,3.0
4.0,4.0,4.0,4.0,1.0,1.0,4.0,3.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,5.0,2.0,2.0,1.0,4.0,2.0,4.0
4.0,4.0,5.0,4.0,3.0,1.0,2.0,3.0,5.0,5.0,5.0,4.0,3.0,1.0,2.0,2.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0
1.0,1.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,2.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,1.0,3.0,1.0,5.0
4.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,5.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,1.0,3.0,4.0,2.0,5.0,2.0,4.0,2.0
5.0,5.0,3.0,4.0,4.0,1.0,2.0,5.0,1.0,2.0,4.0,5.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,4.0,4.0,1.0,4.0,4.0
4.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0
2.0,3.0,5.0,4.0,2.0,3.0,5.0,1.0,3.0,1.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,5.0,3.0
4.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,5.0,1.0,5.0,4.0,4.0,1.0,4.0,2.0,5.0,3.0,2.0,5.0,2.0,5.0,4.0,2.0,1.0,5.0,5.0,2.0
5.0,3.0,4.0,2.0,4.0,2.0,5.0,5.0,1.0,5.0,2.0,4.0,2.0,4.0,1.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,1.0,1.0,4.0
5.0,3.0,2.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,1.0,1.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,2.0,5.0
5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,1.0,2.0,4.0,1.0,5.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0
2.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,2.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,1.0,1.0,5.0
5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0
4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0
2.0,3.0,4.0,5.0,4.0,1.0,2.0,5.0,3.0,5.0,4.0,4.0,5.0,2.0,1.0,2.0,3.0,4.0,3.0,5.0,5.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0
3.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,3.0,1.0,4.0,2.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,5.0
5.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,2.0,1.0,5.0,1.0,1.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,2.0,2.0,5.0
5.0,5.0,5.0,3.0,4.0,1.0,5.0,5.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0
5.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,1.0,5.0,5.0
1.0,2.0,2.0,5.0,3.0,3.0,5.0,1.0,5.0,5.0,3.0,3.0,4.0,1.0,4.0,5.0,1.0,2.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0
5.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,2.0,2.0,3.0,5.0,4.0,1.0,3.0,4.0,1.0,3.0,3.0,5.0,5.0,3.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0
5.0,5.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,1.0,2.0,2.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
4.0,3.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,1.0,3.0,4.0,4.0,2.0,5.0,5.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0
3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,5.0,2.0,3.0,2.0,2.0,3.0
5.0,4.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,1.0,1.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,2.0
5.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,3.0,3.0,4.0,1.0,2.0,4.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0
2.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,3.0,5.0,5.0,4.0,4.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,2.0,1.0,4.0
4.0,5.0,3.0,4.0,1.0,1.0,3.0,2.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0
4.0,3.0,5.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,4.0,3.0,5.0,4.0,4.0,1.0,3.0,4.0,4.0
2.0,2.0,1.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,2.0,1.0,4.0,1.0,4.0,3.0,5.0,5.0,3.0,1.0,3.0,4.0,5.0,1.0,5.0,4.0
4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,4.0,4.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0
4.0,2.0,2.0,5.0,1.0,1.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,4.0,4.0,5.0,1.0,4.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,5.0,1.0,1.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,5.0,1.0,4.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0
1.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,5.0,5.0
3.0,4.0,5.0,5.0,3.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0,2.0,5.0
4.0,2.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0
5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0
1.0,3.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,5.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,5.0,3.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0
1.0,1.0,1.0,4.0,3.0,1.0,3.0,3.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,5.0,3.0,5.0,1.0,2.0,5.0,5.0,2.0,1.0
5.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0
4.0,2.0,2.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0
5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,2.0
5.0,4.0,5.0,3.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,5.0,4.0,5.0,1.0,4.0,1.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,5.0
4.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0
